"imie";"odmiana";"plec";"sylaby"
"Abdon";"Abdonie";"M";"2"
"Abel";"Ablu";"M";"2"
"Abercjusz";"Abercjuszu";"M";"3"
"Abraham";"Abrahamie";"M";"3"
"Absalon";"Absalonie";"M";"3"
"Achacjusz";"Achacjuszu";"M";"3"
"Achacy";"Achacy";"M";"3"
"Achilles";"Achillesie";"M";"3"
"Ada";"Ado";"K";"2"
"Adalbert";"Adalbercie";"M";"3"
"Adam";"Admie";"M";"2"
"Adamina";"Adamino";"K";"4"
"Adaukt";"Adaukcie";"M";"2"
"Addar";"Addarze";"M";"2"
"Adela";"Adelo";"K";"3"
"Adelajda";"Adelajdo";"K";"4"
"Adelina";"Adelino";"K";"4"
"Ado";"Ado";"M";"2"
"Adolf";"Adolfie";"M";"2"
"Adolfa";"Adolfo";"K";"3"
"Adolfina";"Adolfino";"K";"4"
"Adria";"Adrio";"K";"2"
"Adrian";"Adrianie";"M";"2"
"Adriana";"Adriano";"K";"3"
"Adrianna";"Adrianno";"K";"3"
"Afanazy";"Anafazy";"M";"4"
"Afrodyta";"Afrodyto";"K";"4"
"Aga";"Ago";"K";"2"
"Agapit";"Agapicie";"M";"3"
"Agata";"Agato";"K";"3"
"Agaton";"Agatonie";"M";"3"
"Agatonik";"Agatoniku";"M";"4"
"Agenor";"Agenorze";"M";"3"
"Ageusz";"Ageuszu";"M";"3"
"Agnieszka";"Agnieszko";"K";"3"
"Agrypina";"Agrypino";"K";"4"
"Aida";"Aido";"K";"3"
"Aisza";"Aiszo";"K";"3"
"Alan";"Alanie";"M";"2"
"Alban";"Albanie";"M";"2"
"Albaniusz";"Albaniuszu";"M";"3"
"Albert";"Albercie";"M";"2"
"Alberta";"Alberto";"K";"3"
"Albertyna";"Albertyno";"K";"4"
"Albin";"Albinie";"M";"2"
"Albina";"Albino";"K";"3"
"Albrecht";"Albrechcie";"M";"2"
"Aldona";"Aldono";"K";"3"
"Aleksander";"Aleksandrze";"M";"4"
"Aleksandra";"Aleksandro";"K";"4"
"Aleksy";"Aleksy";"M";"3"
"Alf";"Alfie";"M";"1"
"Alfons";"Alfonsie";"M";"2"
"Alfonsyna";"Alfonsyno";"K";"4"
"Alfred";"Alfredzie";"M";"2"
"Alfreda";"Alfredo";"K";"3"
"Ali";"Ali";"M";"2"
"Alicja";"Alicjo";"K";"3"
"Alina";"Alino";"K";"3"
"Alma";"Almo";"K";"2"
"Alojza";"Alojzo";"K";"3"
"Alojzy";"Alojzy";"M";"3"
"Alpinian";"Alpininie";"M";"3"
"Amadea";"Amadeo";"K";"4"
"Amadeusz";"Amadeuszu";"M";"4"
"Amalia";"Amalio";"K";"3"
"Amata";"Amato";"K";"3"
"Ambroży";"Ambroży";"M";"3"
"Amedeusz";"Amedeuszu";"M";"4"
"Amelia";"Amelio";"K";"3"
"Amiceta";"Amiceto";"K";"4"
"Amin";"Aminie";"M";"2"
"Amon";"Amonie";"M";"2"
"Amos";"Amosie";"M";"2"
"Ananiasz";"Amaniaszu'';l";"M";"3"
"Anastazja";"Anastazjo";"K";"4"
"Anastazy";"Anastazy";"M";"4"
"Anatol";"Anatolu";"M";"3"
"Anatolia";"Anatolino";"K";"4"
"Andonik";"Andoniku";"M";"3"
"Andromeda";"Andromedo";"K";"4"
"Andron";"Andronie";"M";"2"
"Andrzej";"Andrzeju";"M";"2"
"Aneta";"Aneto";"K";"3"
"Angel";"Angelu";"M";"2"
"Angela";"Angelo";"K";"3"
"Angelika";"Angeliko";"K";"4"
"Angelina";"Angelino";"K";"4"
"Angelus";"Angelusie";"M";"3"
"Anicet";"Anicety";"M";"3"
"Aniceta";"Aniceto";"K";"4"
"Aniela";"Anielo";"K";"3"
"Anita";"Anito";"K";"3"
"Anna";"Anno";"K";"2"
"Antoni";"Antoni";"M";"3"
"Antonin";"Antoninie";"M";"3"
"Antonina";"Antonino";"K";"4"
"Antym";"Antymie";"M";"2"
"Anzelm";"Anzelmie";"M";"2"
"Apolinary";"Apolinary";"M";"3"
"Apollo";"Apollo";"M";"3"
"Apolonia";"Apolino";"K";"4"
"Apoloniusz";"Apoloniuszu";"M";"4"
"Areta";"Areto";"K";"3"
"Ariadna";"Ariadno";"K";"3"
"Ariel";"Arielu";"M";"2"
"Ariela";"Arielo";"K";"3"
"Arkadiusz";"Arkadiuszu";"M";"3"
"Arkady";"Arkady";"M";"3"
"Arleta";"Arleto";"K";"3"
"Arletta";"Arletto";"K";"3"
"Arnold";"Arnoldzie";"M";"2"
"Arnolf";"Arnolfie";"M";"2"
"Aron";"Aronie";"M";"2"
"Arseniusz";"Arseniuszu";"M";"3"
"Artemon";"Artemonie";"M";"3"
"Artur";"Arturze";"M";"2"
"Artus";"Artusie";"M";"2"
"Arystarch";"Arystarchu";"M";"3"
"Aspazja";"Aspazjo";"K";"3"
"Asteria";"Asterio";"K";"3"
"Asteriusz";"Asteriuszu";"M";"3"
"Atanazja";"Atanazjo";"K";"4"
"Atanazy";"Atanazy";"M";"4"
"August";"Auguście";"M";"2"
"Augusta";"Augusto";"K";"3"
"Augustyn";"Augustynie";"M";"3"
"Augustyna";"Augustyno";"K";"4"
"Auksencjusz";"Auksencjuszu";"M";"3"
"Aurela";"Aurelo";"K";"3"
"Aureli";"Aureli";"M";"3"
"Aurelia";"Aurelio";"K";"3"
"Aurelian";"Aurelianie";"M";"3"
"Aureliusz";"Aureliuszu";"M";"3"
"Aurora";"Auroro";"K";"3"
"Axel";"Axelu";"M";"2"
"Balbin";"Balbinie";"M";"2"
"Balbina";"Balbino";"K";"3"
"Balcer";"Balcerzu";"M";"2"
"Baltazar";"Baltazarze";"M";"3"
"Barabasz";"Barabaszu";"M";"3"
"Barbara";"Barbaro";"K";"3"
"Barnaba";"Barnabo";"M";"3"
"Bartłomiej";"Bartłomieju";"M";"3"
"Bartolomea";"Bartolomeo";"K";"5"
"Bartosz";"Bartoszu";"M";"2"
"Bazyli";"Bazyli";"M";"3"
"Bazylid";"Bazylid";"M";"3"
"Bazylis";"Bazylisie";"M";"3"
"Bazylissa";"Bazyliasso";"K";"4"
"Bazyliusz";"Bazyliuszu";"M";"3"
"Będzimir";"Będzimirze";"M";"3"
"Będzisław";"Będzisławie";"M";"3"
"Będzisława";"Będzisławo";"K";"4"
"Bean";"Beanie";"M";"2"
"Beata";"Beato";"K";"3"
"Beatrice";"Baetrice";"K";"4"
"Beatrycze";"Beatrycze";"K";"4"
"Beatryks";"Beatryksie";"M";"3"
"Beatus";"Beatusie";"M";"3"
"Beda";"Bedo";"K";"2"
"Begina";"Begino";"K";"3"
"Benedykt";"Benedykcie";"M";"3"
"Benedykta";"Benedykto";"K";"4"
"Beniamin";"Beniminie";"M";"3"
"Benicjusz";"Benicjuszu";"M";"3"
"Benigna";"Benigno";"K";"3"
"Benignus";"Benignusie";"M";"3"
"Benita";"Benito";"K";"3"
"Benon";"Benonie";"M";"2"
"Berenika";"Bereniko";"K";"4"
"Berenike";"Berenike";"K";"4"
"Berna";"Berno";"K";"2"
"Bernadeta";"Bernadeto";"K";"4"
"Bernadetta";"Bernadetto";"K";"4"
"Bernard";"Bernardzie";"M";"2"
"Bernardeta";"Bernadeto";"K";"4"
"Bernardyn";"Bernardynie";"M";"3"
"Bernardyna";"Bernardyno";"K";"4"
"Berno";"Berno";"M";"2"
"Berta";"Berto";"K";"2"
"Bertold";"Bertoldzie";"M";"2"
"Bertram";"Bertramie";"M";"2"
"Bertrand";"Bertrandzie";"M";"2"
"Bibianna";"Bibiano";"K";"3"
"Biernat";"Biernacie";"M";"2"
"Biruta";"Biruto";"K";"3"
"Bjorn";"Bjornie";"M";"1"
"Blandyn";"Blandynie";"M";"2"
"Blandyna";"Blandyno";"K";"3"
"Blanka";"Blanko";"K";"2"
"Blizbor";"Blizborze";"M";"2"
"Błażej";"Błażeju";"M";"2"
"Bogdan";"Bogdanie";"M";"2"
"Bogdana";"Bogdano";"K";"3"
"Bogna";"Bogno";"K";"2"
"Boguchwał";"Boguchwale";"M";"3"
"Boguchwała";"Boguchwało";"K";"4"
"Bogudar";"Bogudarze";"M";"3"
"Bogumił";"Bogumile";"M";"3"
"Bogumiła";"Bogumiło";"K";"4"
"Bogumir";"Bogumirze";"M";"3"
"Bogurad";"Boguradzie";"M";"3"
"Bogusąd";"Bogusądzie";"M";"3"
"Bogusław";"Bogusławie";"M";"3"
"Bogusława";"Bogusławo";"K";"4"
"Bogusz";"Boguszu";"M";"2"
"Boguta";"Boguto";"K";"3"
"Boguwola";"Boguwolo";"K";"4"
"Bohdan";"Bohdanie";"M";"2"
"Bohdana";"Bohdano";"K";"3"
"Bohusz";"Bohuszu";"M";"2"
"Bolebor";"Boleborze";"M";"3"
"Boleczest";"Boleczeście";"M";"3"
"Bolemir";"Bolemirze";"M";"3"
"Bolemysł";"Bolemyślu";"M";"3"
"Bolesław";"Bolesławie";"M";"3"
"Bolesława";"Bolesławo";"K";"4"
"Bolisława";"Bolisławo";"K";"4"
"Bonawentura";"Bonawenturze";"M";"5"
"Bonifacy";"Bonifacy";"M";"3"
"Bończa";"Bończa";"K";"2"
"Borys";"Borysie";"M";"2"
"Borysław";"Borysławie";"M";"3"
"Borzymir";"Borzymirze";"M";"3"
"Borzysław";"Borzysławie";"M";"3"
"Borzysława";"Borzysławo";"K";"4"
"Borzywoj";"Borzywoju";"M";"3"
"Bożebor";"Bożeborze";"M";"3"
"Bożeciech";"Bożeciechu";"M";"3"
"Bożeciecha";"Bożeciecho";"K";"4"
"Bożena";"Bożeno";"K";"3"
"Bożydar";"Bożydarze";"M";"3"
"Bożymierz";"Bożymierzu";"M";"3"
"Bożysław";"Bożysławie";"M";"3"
"Bożysława";"Bożysławo";"K";"4"
"Bożywoj";"Bożywoju";"M";"3"
"Bratumił";"Bratumile";"M";"3"
"Bratumiła";"Bratumiło";"K";"4"
"Brodzisław";"Brodzisławie";"M";"3"
"Bronimir";"Bronimirze";"M";"3"
"Bronisław";"Bronisławie";"M";"3"
"Bronisława";"Bronisławo";"K";"4"
"Bronisz";"Broniszu";"M";"2"
"Broniwoj";"Broniwoju";"M";"3"
"Bruno";"Bruno";"M";"2"
"Brunon";"Brunonie";"M";"2"
"Bryda";"Brydo";"K";"2"
"Brygida";"Brygido";"K";"3"
"Brykcjusz";"Brykcjuszu";"M";"2"
"Budzigniew";"Budzigniewie";"M";"3"
"Budzimir";"Burzimirze";"M";"3"
"Budzisław";"Budzisławie";"M";"3"
"Budzisława";"Budzisławo";"K";"4"
"Budzisz";"Budziszu";"M";"2"
"Budziwoj";"Budziwoju";"M";"3"
"Burchard";"Burchardzie";"M";"2"
"Carmen";"Carmeno";"K";"2"
"Cecyl";"Cecylu";"M";"2"
"Cecylia";"Cecylio";"K";"3"
"Cecylian";"Cecylianie";"M";"3"
"Cecyliusz";"Cecyliuszu";"M";"3"
"Celestyn";"Celestynie";"M";"3"
"Celestyna";"Celestyno";"K";"4"
"Celina";"Celino";"K";"3"
"Cezara";"Cezarze";"K";"3"
"Cezariusz";"Cezariuszu";"M";"3"
"Cezary";"cezary";"M";"3"
"Cezaryna";"Cezaryno";"K";"4"
"Charyzjusz";"Charyzjuszu";"M";"3"
"Chociebor";"Chocieborze";"M";"3"
"Chociemir";"Chociemirze";"M";"3"
"Chociesław";"Chociesławie";"M";"3"
"Chrystian";"Chrystianie";"M";"2"
"Chryzant";"Chryzancie";"M";"2"
"Chwalibóg";"Chwaliboże";"M";"3"
"Chwalimir";"Chwlimirze";"M";"3"
"Chwalimira";"Chwalimiro";"K";"4"
"Chwalisław";"Chwalisławie";"M";"3"
"Chwalisława";"Chwalisławo";"K";"4"
"Cibor";"Ciborze";"M";"2"
"Ciechomir";"Ciechomirze";"M";"3"
"Ciechosław";"Ciechosławii";"M";"3"
"Ciechosława";"Ciechosławo";"K";"4"
"Cierpisław";"Cierpisławie";"M";"3"
"Cieszybor";"Cieszyborze";"M";"3"
"Cieszygor";"Cieszygorze";"M";"3"
"Cieszymir";"Cieszymirze";"M";"3"
"Cieszymysł";"Cieszymyśle";"M";"3"
"Cieszyrad";"Cieszyrardzie";"M";"3"
"Cieszysław";"Cieszysławie";"M";"3"
"Cieszysława";"Cieszysławo";"K";"4"
"Cyntia";"Cyntio";"K";"2"
"Cyprian";"Cyprianie";"M";"2"
"Cyriak";"Cyriaku";"M";"2"
"Cyriaka";"Cyriako";"K";"3"
"Cyrus";"Cyrusie";"M";"2"
"Cyryl";"Cyrylu";"M";"2"
"Czcibor";"Czciborze";"M";"2"
"Czcibora";"Czciboro";"K";"3"
"Czcirad";"Czciradzie";"M";"2"
"Czcisław";"Czcisławie";"M";"2"
"Czech";"Czechu";"M";"1"
"Czechasz";"Czechaszu";"M";"2"
"Czechoń";"Czechoniu";"M";"2"
"Czesemir";"Czesemirze";"M";"3"
"Czesław";"Czesławie";"M";"2"
"Czesława";"Czesławo";"K";"3"
"Częstobor";"Częstoborze";"M";"3"
"Częstogniew";"Częstogniewie";"M";"3"
"Częstomir";"Częstomirze";"M";"3"
"Częstowoj";"Częstowoju";"M";"3"
"Dacjan";"Dacjanie";"M";"2"
"Dadąbog";"Dadąbogu";"M";"2"
"Dagmara";"Dagmaro";"K";"3"
"Dagna";"Dagno";"K";"2"
"Dagobert";"Dagobercie";"M";"3"
"Dalebor";"Daleborze";"M";"3"
"Dalegor";"Dalegorze";"M";"3"
"Dalemir";"Dalemirze";"M";"3"
"Dalia";"Dalio";"K";"2"
"Dalida";"Dalido";"K";"3"
"Damazy";"Damazy";"M";"3"
"Damian";"Damianie";"M";"2"
"Dan";"Danie";"M";"1"
"Daniel";"Danielu";"M";"2"
"Daniela";"Danielo";"K";"3"
"Danisz";"Daniuszu";"M";"2"
"Danuta";"Danuto";"K";"3"
"Daria";"Dario";"K";"2"
"Dariusz";"Dariuszu";"M";"2"
"Darosław";"Darosławie";"M";"3"
"Dawid";"Dawidzie";"M";"2"
"Dawida";"Dawido";"K";"3"
"Dąbrówka";"Dąbrówko";"K";"3"
"Delfin";"Dalfinie";"M";"2"
"Delfina";"Delfino";"K";"3"
"Demetria";"Demetrio";"K";"3"
"Demetriusz";"Demetriuszu";"M";"3"
"Demokryt";"Demokrycie";"M";"3"
"Dersław";"Deresławie";"M";"2"
"Dezyderia";"Dezyderio";"K";"4"
"Dezyderiusz";"Dezyderiuszu";"M";"4"
"Dezydery";"Dezydery";"M";"4"
"Diana";"Diano";"K";"2"
"Dianna";"Dianno";"K";"2"
"Dina";"Dinno";"K";"2"
"Diogenes";"Diogenesie";"M";"3"
"Diomada";"Diomado";"K";"3"
"Dionizja";"Dionizjo";"K";"3"
"Dionizjusz";"Dionizjuszu";"M";"3"
"Dionizy";"Dioizy";"M";"3"
"Ditta";"Ditto";"K";"2"
"Długosz";"Długoszu";"M";"2"
"Dobiegniew";"Dobiegniewie";"M";"3"
"Dobiemiest";"Dobiemiescie";"M";"3"
"Dobiemir";"Dobiemirze";"M";"3"
"Dobiesław";"Dobiesławie";"M";"3"
"Dobiesława";"Dobiesławo";"K";"4"
"Dobisława";"Dobisławo";"K";"4"
"Dobrawa";"Dobrawo";"K";"3"
"Dobrocha";"Dobrocho";"K";"3"
"Dobrochna";"Dobrochno";"K";"3"
"Dobrociech";"Dobrociechu";"M";"3"
"Dobrogniew";"Dobrogniewie";"M";"3"
"Dobrogost";"Dobrogoście";"M";"3"
"Dobromierz";"Dobromierzu";"M";"3"
"Dobromił";"Dobromile";"M";"3"
"Dobromiła";"Dobromiło";"K";"4"
"Dobromir";"Dobromirze";"M";"3"
"Dobromira";"Dobromiro";"K";"4"
"Dobromysł";"Dobromyślu";"M";"3"
"Dobronieg";"Dobroniegu";"M";"3"
"Dobroniega";"Dobroniego";"K";"4"
"Dobrosław";"Dobrosławie";"M";"3"
"Dobrosława";"Dobrosławo";"K";"4"
"Dobrowiest";"Dobrowieście";"M";"3"
"Dobrowit";"Dobrowicie";"M";"3"
"DobrowÃ³j";"DobrowÃ³jcie";"M";"3"
"Dobrymir";"Dobrymirze";"M";"3"
"Dolores";"Dolores";"M";"3"
"Domamir";"Domamirze";"M";"3"
"Domarad";"Domaradzie";"M";"3"
"Domarat";"Domaracie";"M";"3"
"Domasław";"Domasławie";"M";"3"
"Domasława";"Domasławo";"K";"4"
"Domawit";"Domawicie";"M";"3"
"Domicela";"Domicelo";"K";"4"
"Domicjan";"Domicjanie";"M";"3"
"Dominik";"Dominiku";"M";"3"
"Dominika";"Dominiko";"K";"4"
"Domisława";"Domisławo";"K";"4"
"Domosław";"Domosławie";"M";"3"
"Domosława";"Domosławo";"K";"4"
"Donat";"Donacie";"M";"2"
"Donata";"Donato";"K";"3"
"Dorian";"Dorianie";"M";"2"
"Doris";"Doris";"M";"2"
"Dorota";"Doroto";"K";"3"
"Dragomir";"Dragomirze";"M";"3"
"Drogomił";"Drogomirze";"M";"3"
"Drogomir";"Drogomirze";"M";"3"
"Drogomysł";"Drogomysławie";"M";"3"
"Drogosław";"Drogosławie";"M";"3"
"Drogosława";"Drogosławo";"K";"4"
"Duszan";"Duszanie";"M";"2"
"Dymitr";"Dymitrze";"M";"2"
"Dymitriusz";"Dymitriuszu";"M";"3"
"Dytrych";"Dytrychu";"M";"2"
"Dyzma";"Dyzmo";"K";"2"
"Dziersław";"Dziersławie";"M";"2"
"Dziersława";"Dziersławo";"K";"3"
"Dzierżykraj";"Dzierżykraju";"M";"3"
"Dzierżymir";"Dzierżymirze";"M";"3"
"Dzierżysław";"Dzierżysławie";"M";"3"
"Dzierżysława";"Dzierżysławo";"K";"4"
"Eberhard";"Eberhardzie";"M";"3"
"Edda";"Eddo";"K";"2"
"Edgar";"Edgardzie";"M";"2"
"Edmund";"Edmundzie";"M";"2"
"Edward";"Edwardzie";"M";"2"
"Edwin";"Edwinie";"M";"2"
"Edyta";"Edyto";"K";"3"
"Efrem";"Efremie";"M";"2"
"Egbert";"Egbercie";"M";"2"
"Egon";"Egonie";"M";"2"
"Eleonora";"Eleonoro";"K";"5"
"Eliasz";"Eliaszu";"M";"2"
"Eliga";"Eligo";"K";"3"
"Eligiusz";"Eligiuszu";"M";"3"
"Eliza";"Elizo";"K";"3"
"Elwira";"Elwiro";"K";"3"
"Elżbieta";"Elżbieto";"K";"3"
"Emanuel";"Emanuelu";"M";"4"
"Emanuela";"Emanuelo";"K";"5"
"Emerencja";"Emerencjo";"K";"4"
"Emeryk";"Emeryku";"M";"3"
"Emil";"Emilu";"M";"2"
"Emilia";"Emilio";"K";"3"
"Emilian";"Emilianie";"M";"3"
"Emiliana";"Emilianno";"K";"4"
"Emiliusz";"Emiliuszu";"M";"3"
"Emma";"Emmo";"K";"2"
"Enema";"Enemo";"K";"3"
"Engelbert";"Engelbercie";"M";"3"
"Enoch";"Enochu";"M";"2"
"Epifan";"Epifanie";"M";"3"
"Epifani";"Epifanie";"M";"4"
"Epifania";"Epifianno";"K";"4"
"Epifaniusz";"Epifaniuszu";"M";"4"
"Erast";"Eraście";"M";"2"
"Erazm";"Eraźmie";"M";"2"
"Erazma";"Erazmo";"K";"3"
"Erhard";"Erhardzie";"M";"2"
"Ernest";"Erneście";"M";"2"
"Ernesta";"Ernesto";"K";"3"
"Ernestyn";"Erestynie";"M";"3"
"Ernestyna";"Erestyno";"K";"4"
"Erwin";"Erwinie";"M";"2"
"Erwina";"Erwino";"K";"3"
"Eryk";"Eryku";"M";"2"
"Eryka";"Eryko";"K";"3"
"Estera";"Estero";"K";"3"
"Euchariusz";"Euchariuszu";"M";"3"
"Eudokia";"Eudokio";"K";"3"
"Eudoksja";"Eudoksjo";"K";"3"
"Eudoksjusz";"Eudoksjuszu";"M";"3"
"Eufemia";"Eufemino";"K";"3"
"Eufrozyna";"Eufrozyno";"K";"4"
"Eugenia";"Eugenio";"K";"3"
"Eugeniusz";"Eugeniuszu";"M";"3"
"Eulalia";"Eulalio";"K";"3"
"Eulogiusz";"Eulogiuszu";"M";"3"
"Eustachiusz";"Eustachiuszu";"M";"3"
"Eustachy";"Eustachy";"M";"3"
"Eutropiusz";"Eutropiuszu";"M";"3"
"Euzebia";"Euzebio";"K";"3"
"Euzebiusz";"Euzebieuszu";"M";"3"
"Ewa";"Ewo";"K";"2"
"Ewald";"Ewaldzie";"M";"2"
"Ewaryst";"Ewaryście";"M";"3"
"Ewdokia";"Ewdokio";"K";"3"
"Ewelin";"Ewelinie";"M";"3"
"Ewelina";"Ewelino";"K";"4"
"Eweryst";"Eweryście";"M";"3"
"Ezechiel";"Ezechielu";"M";"3"
"Fabia";"Fabio";"K";"2"
"Fabian";"Fabianie";"M";"2"
"Fabiola";"Fabiolo";"K";"3"
"Fabrycjan";"Fabrycjanie";"M";"3"
"Fabrycy";"Fabrycy";"M";"3"
"Faust";"Fauście";"M";"2"
"Fausta";"Faustyno";"K";"2"
"Faustyn";"Faustynie";"M";"2"
"Faustyna";"Faustyno";"K";"3"
"Felicja";"Falicjo";"K";"3"
"Felicjan";"Falicjanie";"M";"3"
"Felicjana";"Falicjanno";"K";"4"
"Felicysym";"Falicyśmie";"M";"4"
"Felicyta";"Felicyto";"K";"4"
"Feliks";"Feliksie";"M";"2"
"Ferdynand";"Ferdynandzie";"M";"3"
"Festus";"Festusie";"M";"2"
"Fidelis";"Fidelisie";"M";"3"
"Fides";"Fidesie";"M";"2"
"Filemon";"Filemonie";"M";"3"
"Filip";"Filipie";"M";"2"
"Filipina";"Filipino";"K";"4"
"Filomena";"Filomeno";"K";"4"
"Flawia";"Flawio";"K";"2"
"Flawian";"Flawianie";"M";"2"
"Flawiusz";"Flawiuszu";"M";"2"
"Flora";"Floro";"K";"2"
"Florencjusz";"Florencjuszu";"M";"3"
"Florenty";"Florenty";"M";"3"
"Florentyn";"Florentynie";"M";"3"
"Florentyna";"Florentyno";"K";"4"
"Florian";"Florianie";"M";"2"
"Floryn";"Florynie";"M";"2"
"Fortunat";"Forunacie";"M";"3"
"Fortunata";"Fortunato";"K";"4"
"Franciszek Salezy";"Franciszu Salezy";"M";"6"
"Franciszek";"Franciszku";"M";"3"
"Franciszka";"Franciszko";"K";"3"
"Frumencjusz";"Frumencjuszu";"M";"3"
"Fryda";"Frydo";"K";"2"
"Fryderyk";"Fryderyku";"M";"3"
"Fryderyka";"Fryderyko";"K";"4"
"Frydolin";"Frydolinie";"M";"3"
"Gabin";"Gabinie";"M";"2"
"Gabor";"Gaborze";"M";"2"
"Gabriel";"Gabrielu";"M";"2"
"Gabriela";"Gabrielo";"K";"3"
"Gajusz";"Gajuszu";"M";"2"
"Galezy";"Galezy";"M";"3"
"Gall";"Gallu";"M";"1"
"Galla";"Galo";"K";"2"
"Gallina";"Gallino";"K";"3"
"Ganda";"Gando";"K";"2"
"Gardenia";"Gardenio";"K";"3"
"Gaspar";"Gasparze";"M";"2"
"Gaudencja";"Gaudencjo";"K";"3"
"Gaudencjusz";"Gaudencjuszu";"M";"3"
"Gaudenty";"Gaudenty";"M";"3"
"Gaweł";"Gawle";"M";"2"
"Gawryła";"Gawryło";"K";"3"
"Gebhard";"Gebhardzie";"M";"2"
"Gedeon";"Gedeonie";"M";"3"
"Genowefa";"Genowefo";"K";"4"
"Georgia";"Georgio";"K";"3"
"Georgina";"Georginio";"K";"4"
"Gerald";"Geraldzie";"M";"2"
"Geraldyna";"Geraldyno";"K";"4"
"Gerard";"Gererdzie";"M";"2"
"Gerarda";"Geredo";"K";"3"
"Gerhard";"Gerhardzie";"M";"2"
"German";"Germanie";"M";"2"
"Germanik";"Germaniku";"M";"3"
"Gertruda";"Gertrudo";"K";"3"
"Gerwazy";"Gerwazy";"M";"3"
"Gilbert";"Gilbercie";"M";"2"
"Gilda";"Gildo";"K";"2"
"Gizela";"Gizelo";"K";"3"
"Glikeria";"Glikerio";"K";"3"
"Gloria";"Glorio";"K";"2"
"Gniewomir";"Gniewomirze";"M";"3"
"Gniewosz";"Gniewoszu";"M";"2"
"Goar";"Goarze";"M";"2"
